toi_id,hostname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2
4159.0,TOI 4159,5815.0,126.8,126.8,1.92,0.1,0.1
4161.0,TOI 4161,7409.0,121.8,121.8,2.1503201,0.0938592,0.0938592
4164.0,TOI 4164,5952.0,353.9,353.9,1.39,0.17,0.17
4162.0,TOI 4162,6013.0,130.7,130.7,2.05,0.1,0.1
4165.0,TOI 4165,5463.0,121.4,121.4,1.00007,0.0520905,0.0520905
4166.0,TOI 4166,5604.0,144.5,144.5,0.96,0.05,0.05
4169.0,TOI 4169,5661.0,125.0,125.0,2.18,0.11,0.11
4171.0,TOI 4171,5133.0,123.2,123.2,0.81,0.05,0.05
4176.0,TOI 4176,7423.0,131.128,131.128,2.43,0.1,0.1
4172.0,TOI 4172,4996.0,127.2,127.2,0.79,0.05,0.05
4177.0,TOI 4177,7042.0,125.8,125.8,2.13,0.1,0.1
4173.0,TOI 4173,5921.0,128.9,128.9,0.97,0.05,0.05
4180.0,TOI 4180,7511.0,212.0,212.0,1.92067,0.0697889,0.0697889
4186.0,TOI 4186,5639.0,188.0,188.0,0.88,0.05,0.05
422.0,TOI 422,5999.0,127.0,127.0,1.34655,0.0635125,0.0635125
4220.0,TOI 4220,7246.0,253.3,253.3,,,
4241.0,TOI 4241,5412.6,222.9,222.9,1.08,0.08,0.08
4242.0,TOI 4242,5967.0,135.6,135.6,1.59436,0.105422,0.105422
4246.0,TOI 4246,6126.0,129.1,129.1,1.11324,0.049598,0.049598
4248.0,TOI 4248,5936.0,70.8,70.8,2.09,0.1,0.1
4244.0,TOI 4244,6310.3,203.4,203.4,1.61,0.1,0.1
4249.0,TOI 4249,4360.5,271.1,271.1,2.12,0.25,0.25
4254.0,TOI 4254,6416.0,137.0,137.0,2.11854,0.0956183,0.0956183
426.0,TOI 426,5731.0,123.9,123.9,0.98926,0.046402,0.046402
4262.0,TOI 4262,6613.0,131.6,131.6,1.2860301,0.0554572,0.0554572
4264.0,TOI 4264,7606.3,128.2,128.2,1.01,0.03,0.03
4265.0,TOI 4265,5895.0,127.7,127.7,1.53,0.07,0.07
4271.0,TOI 4271,5829.0,81.6,81.6,,,
4277.0,TOI 4277,5976.0,123.0,123.0,1.27,,
4274.0,TOI 4274,8878.0,123.0,123.0,1.7,,
4287.0,TOI 4287,6387.0,129.7,129.7,1.86,0.08,0.08
4288.0,TOI 4288,5036.0,122.0,122.0,0.82,,
428.0,TOI 428,5713.0,70.2,70.2,2.35,0.12,0.12
4307.0,TOI 4307,6079.16,43.8376,43.8376,1.09843,0.0429949,0.0429949
4291.0,TOI 4291,6029.0,122.0,122.0,1.28,,
4313.0,TOI 4313,5781.0,129.08,129.08,2.0587699,0.0972059,0.0972059
4289.0,TOI 4289,6025.0,134.3,134.3,2.18,0.11,0.11
4315.0,TOI 4315,5809.0,190.0,190.0,0.914215,0.0492286,0.0492286
4311.0,TOI 4311,5159.0,123.858,123.858,0.850729,0.0504723,0.0504723
4322.0,TOI 4322,5914.2,121.77,121.77,1.20531,0.0582413,0.0582413
4324.0,TOI 4324,3479.0,157.0,157.0,0.395397,0.0119085,0.0119085
4325.0,TOI 4325,3896.0,147.0,147.0,0.454049,0.0138638,0.0138638
4327.0,TOI 4327,3672.0,157.0,157.0,0.57,0.02,0.02
4330.0,TOI 4330,4886.0,122.0,122.0,8.71,,
4333.0,TOI 4333,6606.0,132.9,132.9,1.7521,0.107299,0.107299
4338.0,TOI 4338,4979.2,88.5,88.5,1.90969,0.113688,0.113688
435.0,TOI 435,3978.0,165.0,165.0,0.672832,0.0658292,0.0658292
4343.0,TOI 4343,6112.0,130.898,130.898,0.901955,0.0413141,0.0413141
4350.0,TOI 4350,5937.0,122.905,122.905,1.1487499,0.0552161,0.0552161
4352.0,TOI 4352,5461.0,122.168,122.168,0.834552,0.0432865,0.0432865
4354.0,TOI 4354,5737.0,128.163,128.163,0.969791,0.048603,0.048603
