Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
G_219101992_kappa_0_13,1,1744.8788767126612,2458744.8788767126,1.0828791231510209,-2.7549621553203836,4000,1,0.34343706984072925,972000,0.6566056536445545
G_219101992_kappa_0_15,1,1746.3219340833039,2458746.3219340835,1.4634064616199067,-2.556579962168688,4000,1,0.9881045415997505,972000,0.09238196503511639
G_219101992_kappa_0_15,2,1753.6872250781512,2458753.687225078,1.4012568898332676,-2.9516714259853507,4000,1,0.46116274055093526,972000,0.2957717619597155
G_219101992_kappa_0_15,3,1753.787225054095,2458753.787225054,1.609106226302082,-2.781668317549545,4000,1,0.48116273572668433,972000,0.31415451901294383
G_219101992_kappa_0_15,1,1742.8774863768313,2458742.877486377,0.7354623032722463,-2.572592052123173,4000,1,0.6504131689667701,972000,1.806542382523067
G_219101992_kappa_0_15,1,1742.709430752312,2458742.7094307523,0.9764326617354431,-2.737396442872476,4000,1,0.5869362412951886,972000,1.1762184456314773
G_219101992_kappa_0_16,1,1755.044169422112,2458755.0441694222,1.393358923741708,-2.8901592676631083,4000,1,0.4716893913224339,972000,0.25171926088165475
G_219101992_kappa_0_16,2,1755.130280543527,2458755.1302805436,1.5873004559750719,-2.84009246407037,4000,1,0.4889116155914962,972000,0.21262221211345367
G_219101992_kappa_0_16,1,1741.0149860595716,2458741.0149860596,1.0423579101508107,-2.699413716411985,4000,1,0.8011939318850636,972000,0.9422769657293055
G_219101992_kappa_0_18,1,1755.0872249825716,2458755.0872249827,1.4734367112944593,-2.377778310723095,4000,1,0.16362665789201855,972000,0.28057693027681846
G_219101992_kappa_0_19,1,1755.4205583707885,2458755.4205583706,1.6184234533229291,-3.663852529911088,4000,1,0.9598713674582541,972000,0.04641912866232037
G_219101992_kappa_0_19,2,1756.3955587037294,2458756.3955587037,1.627405635393257,-3.8935153470782096,4000,1,0.15487143406644463,972000,0.24017427678803144
G_219101992_kappa_0_19,1,1741.7566527345798,2458741.7566527347,1.4835980678297307,-3.2573275326660984,4000,1,0.6961385970935225,972000,0.16445031394859186
G_219101992_kappa_0_19,2,1741.8677638604254,2458741.8677638606,1.619468611067288,-3.5480476629521687,4000,1,0.718360822275281,972000,0.13004494179288326
G_219101992_kappa_0_19,1,1757.1427813570679,2458757.1427813573,1.5631933034369052,-3.3086579106655383,4000,1,0.6290826987475157,972000,0.19145630857064944
G_219101992_kappa_0_20,1,1745.4622106955837,2458745.4622106957,1.1763625975266019,-2.889113637704679,4000,1,0.9127118568867445,972000,0.3502528814685265
G_219101992_kappa_0_21,1,1754.724724956909,2458754.724724957,1.0317068999417691,-1.9861456613554456,4000,1,0.2786605603992939,972000,1.221426777204603
G_219101992_kappa_0_21,1,1746.2802673540643,2458746.280267354,1.1748518958444805,-1.6127673325154723,4000,1,0.9698646581731737,972000,1.3386598033980543
G_219101992_kappa_0_21,1,1755.8622251563665,2458755.8622251563,1.0108859248198454,-2.0105923000536836,4000,1,0.5441261419095099,972000,0.3857725746473418
G_219101992_kappa_0_21,1,1753.3469474010299,2458753.346947401,1.3474655803089373,-2.3734391074214973,4000,1,0.7271890477277339,972000,0.1696562883729827
G_219101992_kappa_0_21,1,1743.4858200268445,2458743.485820027,0.8536351872308394,-2.6225204719523303,4000,1,0.4608565466478467,972000,1.696355230881865
G_219101992_kappa_0_22,1,1759.7275063530255,2458759.727506353,1.4980117204661394,-2.9803884083666126,4000,1,0.02833159491419792,972000,0.15182905380382994
G_219101992_kappa_0_22,2,1760.4677853561698,2458760.467785356,1.5883575573915303,-3.553394823290867,4000,1,0.17638739552348853,972000,0.37026983106968875
G_219101992_kappa_0_23,1,1760.134451443043,2458760.134451443,1.1162376253568727,-2.6417895562135345,4000,1,0.7234071259386837,972000,0.44695698110158383
G_219101992_kappa_0_23,2,1760.812230452348,2458760.8122304524,1.1093305281580588,-2.221740003679915,4000,1,0.8589629278518259,972000,0.6278332286537597
G_219101992_kappa_0_23,3,1761.3080648286023,2458761.3080648286,1.6396204662616216,-3.5230976640352174,4000,1,0.9581298030912876,972000,0.15310182228102526
G_219101992_kappa_0_23,1,1751.8775035671142,2458751.877503567,1.3251861296079501,-2.9661147150634717,4000,1,0.8880009795539081,972000,0.24651523945812137
G_219101992_kappa_0_23,2,1752.383058921157,2458752.383058921,1.5947567311260757,-3.4148770058091635,4000,1,0.9891120503656566,972000,0.3168979030478319
G_219101992_kappa_0_24,1,1754.9247249666842,2458754.9247249668,1.1730354502149767,-2.2702121658242103,4000,1,0.17066941196098923,972000,1.2502202390718016
G_219101992_kappa_0_24,1,1757.7983374204564,2458757.7983374204,1.0070964278879628,-2.7341542342123195,4000,1,0.04070125566795468,972000,0.892529379410093
G_219101992_kappa_0_25,1,1744.1260982527592,2458744.126098253,1.5233946928651585,-3.31099805269748,4000,1,0.9360325996764004,972000,0.2301167118745288
G_219101992_kappa_0_25,1,1745.084432484714,2458745.0844324846,0.7717256667932828,-2.5901267079109385,4000,1,0.4138915984891355,972000,2.9157416539297767
G_219101992_kappa_0_25,1,1745.1330436489761,2458745.133043649,0.7548731037779142,-2.447718656660042,4000,1,0.4742806642316282,972000,1.2182265994400203
G_219101992_kappa_0_26,1,1752.8372253784246,2458752.8372253785,1.2854804688446888,-1.7107950341829605,4000,1,0.5313076966442167,972000,1.230813362305427
