Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_1_kappa_0,5,1699.926199,2458699.926,0.834803669,-2.006329372,4000,1,0.154688847,972000,3.358336036
M_219101992_1_kappa_0,6,1702.955352,2458702.955,0.876391112,-2.203180788,4000,1,0.760519432,972000,0.695263711
M_219101992_1_kappa_0,8,1707.883113,2458707.883,1.375211893,-2.775734145,4000,1,0.746071653,972000,0.545193038
M_219101992_1_kappa_0,1,1690.99567,2458690.996,0.980337539,-2.121669162,4000,1,0.284966921,972000,0.997673161
M_219101992_1_kappa_0,2,1693.730385,2458693.73,1.517671789,-3.430726599,4000,1,0.831909868,972000,0.400077286
M_219101992_1_kappa_0,4,1709.678943,2458709.679,1.569930534,-3.338274254,4000,1,0.021621496,972000,0.092707842
M_219101992_2_kappa_0,1,1701.020638,2458701.021,1.540490006,-3.110004896,4000,1,0.140284789,972000,0.16653101
M_219101992_2_kappa_0,2,1702.794241,2458702.794,0.971219479,-1.743074946,4000,1,0.495005444,972000,5.995007342
M_219101992_2_kappa_0,4,1706.028952,2458706.029,1.234400897,-2.860857788,4000,1,0.141947474,972000,0.773364496
M_219101992_2_kappa_0,1,1691.031781,2458691.032,1.384672454,-2.894258685,4000,1,0.340442732,972000,0.359665447
M_219101992_2_kappa_0,1,1695.20816,2458695.208,1.105747224,-1.440584288,4000,1,0.359518964,972000,9.731191785
M_219101992_2_kappa_0,2,1699.616478,2458699.616,1.267438873,-2.803394157,4000,1,0.241182529,972000,0.385017613
M_219101992_2_kappa_0,1,1689.192899,2458689.193,1.125552818,-2.657277118,4000,1,0.90897145,972000,1.672751102
M_219101992_2_kappa_0,3,1708.028946,2458708.029,1.443867471,-2.88282788,4000,1,0.676180877,972000,0.391025122
M_219101992_2_kappa_0,1,1695.366494,2458695.366,1.399896321,-2.700572473,4000,1,0.50208176,972000,0.190998344
M_219101992_2_kappa_0,2,1695.45816,2458695.458,1.680100219,-3.419903777,4000,1,0.520415079,972000,0.142425945
M_219101992_2_kappa_0,1,1703.598405,2458703.598,0.861166994,-2.672684036,4000,1,0.034411614,972000,6.384315731
M_219101992_2_kappa_0,1,1698.341485,2458698.341,1.288101436,-2.717227045,4000,1,0.325025556,972000,0.906522494
M_219101992_2_kappa_0,3,1707.503947,2458707.504,1.313606313,-2.748220381,4000,1,0.157518036,972000,0.652613894
M_219101992_2_kappa_0,4,1708.42339,2458708.423,1.628654739,-2.040333028,4000,1,0.341406495,972000,0.369303061
M_219101992_2_kappa_0,1,1684.72764,2458684.728,1.261307082,-2.791972666,4000,1,0.05519925,972000,0.784276475
