Host_ID,p_KU,p_KS,p_AD,p_KS_Samp,p_AD_Samp,N,Host_ID_0.25,p_KU_0.25,p_KS_0.25,p_AD_0.25,p_KS_Samp_0.25,p_AD_Samp_0.25,N_0.25,Host_ID_0.5_0.5,p_KU_0.5,p_KS_0.5,p_AD_0.5,p_KS_Samp_0.5,p_AD_Samp_0.5,N_0.5,Host_ID,p_KU_1,p_KS_1,p_AD_1,p_KS_Samp_1,p_AD_Samp_1,N_1,Host_ID_2,p_KU_2,p_KS_2,p_AD_2,p_KS_Samp_2,p_AD_Samp_2,N_2,Host_ID_4,p_KU_4,p_KS_4,p_AD_4,p_KS_Samp_4,p_AD_Samp_4,N_4,Host_ID_8,p_KU_8,p_KS_8,p_AD_8,p_KS_Samp_8,p_AD_Samp_8,N_8
M_219101992_27_kappa_0,0.269679643,0.133831399,0.186745344,0.322167086,0.312375371,36,M_219101992_27_kappa_0.25,0.503249785,0.759484894,0.646881823,0.497707634,0.546330136,32,M_219101992_27_kappa_0.5,0.045932702,0.135531206,0.26873704,0.134138063,0.144173965,29,M_219101992_27_kappa_1,9.98E-05,0.008791106,0.007833071,0.008964603,0.001929443,33,M_219101992_27_kappa_2,0.000183023,0.018862018,0.016803745,0.00630519,0.002534891,25,M_219101992_27_kappa_4,8.92E-08,0.015982922,0.005794219,0.004304866,0.002628177,21,M_219101992_27_kappa_8,9.85E-10,0.005441439,0.002198452,0.000351202,0.000330742,22
M_219101992_28_kappa_0,0.932932316,0.879250952,0.747425334,0.839663821,0.791384843,45,M_219101992_28_kappa_0.25,0.757078626,0.584669332,0.641871316,0.688910466,0.640241395,40,M_219101992_28_kappa_0.5,0.386536998,0.327570478,0.370136896,0.353804806,0.335124764,33,M_219101992_28_kappa_1,0.001262304,0.12343622,0.034801851,0.02249535,0.008268263,26,M_219101992_28_kappa_2,3.38E-06,0.019365662,0.018469384,0.00411173,0.005803724,20,M_219101992_28_kappa_4,1.65E-11,0.001291262,0.000761967,1.26E-05,3.68E-05,25,M_219101992_28_kappa_8,4.28E-07,0.023833187,0.014590812,0.002000924,0.002457063,13
M_219101992_29_kappa_0,0.947591093,0.978690985,0.908209067,0.838411267,0.715468158,42,M_219101992_29_kappa_0.25,0.982196071,0.970184628,0.883692353,0.873716063,0.786457622,46,M_219101992_29_kappa_0.5,0.138614465,0.209307764,0.415977183,0.219937296,0.263920242,26,M_219101992_29_kappa_1,0.015627972,0.172580835,0.257108872,0.114066233,0.11893908,31,M_219101992_29_kappa_2,6.68E-09,0.005632656,0.004999033,0.000430353,0.000537036,20,M_219101992_29_kappa_4,6.22E-09,0.006092729,0.004833041,0.001178813,0.001776636,21,M_219101992_29_kappa_8,1.27E-15,0.000319627,0.000362577,2.31E-05,6.58E-05,24
M_219101992_3_kappa_0,0.310481094,0.278180185,0.388575052,0.360101628,0.382884289,50,M_219101992_3_kappa_0.25,0.068967606,0.469777014,0.520102023,0.175495749,0.24473974,40,M_219101992_3_kappa_0.5,0.093607595,0.312307459,0.20454533,0.212724416,0.203591894,37,M_219101992_3_kappa_1,0.005569741,0.163131507,0.151101777,0.037666107,0.067126752,37,M_219101992_3_kappa_2,4.54E-05,0.053043409,0.047404969,0.012585912,0.012343575,17,M_219101992_3_kappa_4,2.60E-06,0.037100617,0.027876271,0.006053622,0.007768913,13,M_219101992_3_kappa_8,1.86E-11,0.002919504,0.003684346,0.000166132,0.00061689,16
M_219101992_30_kappa_0,0.238982139,0.379094954,0.58441815,0.33000779,0.329484166,40,M_219101992_30_kappa_0.25,0.001869335,0.17012139,0.066157246,0.025014091,0.026066011,46,M_219101992_30_kappa_0.5,0.006254281,0.174554698,0.117354374,0.043115838,0.043249518,36,M_219101992_30_kappa_1,0.011703648,0.118056438,0.086465104,0.022794416,0.026996253,24,M_219101992_30_kappa_2,8.46E-05,0.003662472,0.028141352,0.006321158,0.003823264,17,M_219101992_30_kappa_4,6.68E-08,0.008496894,0.01098352,0.002401976,0.004250571,16,M_219101992_30_kappa_8,2.02E-14,0.000301573,0.00042823,7.15E-05,0.000167732,29
M_219101992_31_kappa_0,0.341577174,0.559457826,0.522071065,0.555951626,0.542464248,30,M_219101992_31_kappa_0.25,0.98842759,0.947173763,0.724486949,0.957846501,0.927758629,24,M_219101992_31_kappa_0.5,0.174128267,0.401925131,0.40723758,0.239520646,0.246386776,26,M_219101992_31_kappa_1,0.030577817,0.363589464,0.163179407,0.101580912,0.060787186,23,M_219101992_31_kappa_2,2.05E-05,0.02077583,0.0215818,0.005222698,0.004144473,24,M_219101992_31_kappa_4,2.32E-10,0.001294889,0.002230523,0.000368999,0.000390676,23,M_219101992_31_kappa_8,5.90E-10,0.002260716,0.00617632,0.000872739,0.001778267,16
M_219101992_32_kappa_0,0.061044821,0.025534855,0.020191725,0.115787369,0.078682678,41,M_219101992_32_kappa_0.25,0.834704346,0.967373545,0.966078345,0.783214168,0.714810235,44,M_219101992_32_kappa_0.5,0.826767919,0.560661931,0.862620786,0.65013934,0.797463252,36,M_219101992_32_kappa_1,2.79E-05,0.061209671,0.029978938,0.01634385,0.017056178,17,M_219101992_32_kappa_2,5.72E-10,0.000935202,0.002437172,0.000403071,0.000450425,27,M_219101992_32_kappa_4,2.50E-08,0.007038446,0.009437065,0.002557723,0.003888659,17,M_219101992_32_kappa_8,7.19E-10,0.00501657,0.003865069,0.000310608,0.000839056,20
M_219101992_33_kappa_0,0.206222956,0.287875816,0.549474144,0.230610927,0.271191516,43,M_219101992_33_kappa_0.25,0.008070088,0.143182216,0.091320973,0.058901828,0.083057932,46,M_219101992_33_kappa_0.5,0.216394232,0.57043841,0.412776949,0.287816029,0.29198519,28,M_219101992_33_kappa_1,0.010148332,0.022675695,0.027958528,0.037675934,0.023434533,23,M_219101992_33_kappa_2,3.22E-06,0.003405321,0.014195076,0.001961074,0.003723096,29,M_219101992_33_kappa_4,5.74E-10,0.001147344,0.001920341,0.000793955,0.000773918,24,M_219101992_33_kappa_8,1.03E-05,0.02425936,0.025103953,0.003588666,0.007455015,13
M_219101992_34_kappa_0,0.544865912,0.679432685,0.833315737,0.551743529,0.620696255,32,M_219101992_34_kappa_0.25,0.745768784,0.854660227,0.643472818,0.620562557,0.60576967,36,M_219101992_34_kappa_0.5,0.078641342,0.162452933,0.202921768,0.109067709,0.099440773,33,M_219101992_34_kappa_1,0.067936017,0.231263577,0.171224531,0.168334269,0.126537276,33,M_219101992_34_kappa_2,3.80E-05,0.036142396,0.017839385,0.007763097,0.005952797,18,M_219101992_34_kappa_4,3.46E-08,0.002386639,0.006184287,0.000791213,0.000634967,18,M_219101992_34_kappa_8,7.20E-09,0.00318977,0.008234082,0.000474921,0.000456043,17
M_219101992_35_kappa_0,0.209022564,0.297405786,0.273791813,0.307390476,0.299240218,30,M_219101992_35_kappa_0.25,0.470019538,0.556604404,0.890654389,0.484454942,0.606649315,32,M_219101992_35_kappa_0.5,0.449091417,0.629148925,0.535740924,0.376249154,0.301409371,38,M_219101992_35_kappa_1,0.079283193,0.130842747,0.188612483,0.124943777,0.129150243,19,M_219101992_35_kappa_2,2.64E-05,0.059695793,0.027310443,0.007386623,0.005795555,17,M_219101992_35_kappa_4,3.19E-10,0.002179027,0.00458965,0.000299669,0.000838331,21,M_219101992_35_kappa_8,1.01E-14,0.000653096,0.000854087,8.04E-05,0.000318652,21
